nome_item,nome_secao_item,nome_secao_pai_item,nome_marca_item,descricao_base_item,outros_detalhes_item,preco_item,validade_str_item
Pão Francês Tradicional,Padaria,,Padaria Pão Quente,"Pão francês fresquinho, crocante por fora e macio por dentro.","Ideal para o café da manhã. Vendido por unidade.",0.90,"1 dia"
Pão de Alho para Churrasco,Padaria,,Churras Bom,"Pão de alho tradicional, com pasta de alho caseira.","Pacote com 4 unidades.",10.50,"5 dias"
Queijo Mussarela Fatiado Pacote,Frios e Laticínios,,Tirolez,"Mussarela de alta qualidade, fatias uniformes.","Embalagem 200g, abre fácil.",10.50,"20 dias"
Picanha Bovina Selecionada Peça,Cortes Bovinos,Carnes Aves e Peixes,Swift Black,"Corte nobre de picanha, ideal para churrasco.","Preço por kg, peça aprox. 1.2kg.",89.90,"7 dias"
Linguiça de Pernil Apimentada para Churrasco,Especial para Churrasco,Carnes Aves e Peixes,Churras Fest,"Linguiça de pernil suíno com pimenta calabresa, artesanal.","Pacote 500g.",35.00,"10 dias"
Refrigerante Sabor Cola,Refrigerantes,Bebidas,Coca-Cola,"Refrigerante refrescante, sabor cola.","Garrafa de 2 litros.",8.00,"6 meses"
Suco de Laranja 100% Integral Garrafa,Sucos e Néctares,Bebidas,Natural da Fazenda,"Suco de laranja espremido na hora, sem adição de açúcar.","Garrafa de 1 litro, refrigerado.",12.00,"15 dias"
Cerveja Artesanal IPA (India Pale Ale),Bebidas Alcoólicas,Bebidas,Bodebrown Cacau IPA,"Cerveja de alta fermentação, amargor e aroma lupulado intenso.","Garrafa 500ml.",22.00,"6 meses"
Achocolatado em Pó Nescau,Achocolatados,Bebidas,Nescau,"Achocolatado em pó com vitaminas e minerais.","Lata de 400g. Energia que dá gosto.",9.00,"12 meses"
Detergente Líquido Neutro para Louças,Limpeza,,Ypê,"Detergente eficiente na remoção de gordura, suave para as mãos.","Frasco de 500ml.",2.50,"24 meses"
Sabonete em Barra Perfumado,Higiene Pessoal,,Dove,"Sabonete que limpa e hidrata a pele, fragrância suave.","Unidade de 90g.",2.80,"36 meses"
Lasanha Bolonhesa Congelada,Congelados,,Sadia,"Lasanha à bolonhesa pronta para aquecer.","Embalagem 600g.",18.00,"6 meses"
Ração Premium para Cães Adultos Carne,Pet Shop,,Pedigree,"Alimento completo e balanceado para cães adultos.","Saco de 10,1kg. Sabor carne.",120.00,"18 meses"
Pilhas Alcalinas AA Pacote com 4,Utilidades Domésticas,,Duracell,"Pilhas alcalinas de longa duração, tamanho AA.","Ideal para controles remotos, brinquedos, etc.",15.00,"10 anos"
Fralda Descartável Pampers Confort Sec P,Fraldas e Higiene do Bebê,Bebês,Pampers,"Fralda com máxima absorção e ajuste confortável.","Pacote com 38 unidades.",35.00,"36 meses"
Papinha Nestlé Orgânica Maçã e Ameixa,Alimentação Infantil,Bebês,Nestlé Baby,"Alimento infantil orgânico, pronto para consumo.","Potinho 115g, a partir de 6 meses.",5.50,"12 meses"
Jogo de Lençol Casal Algodão Egípcio 400 Fios Branco,Cama Mesa e Banho,Casa e Decoração,Trussardi,"Jogo de lençol luxuoso, maciez incomparável.","Contém 1 lençol de cima, 1 lençol de baixo com elástico e 2 fronhas.",450.00,"Indeterminada"
Jogo de Panelas Antiaderente Cerâmico 5 Peças Vermelho,Utensílios de Cozinha,Casa e Decoração,Brinox,"Conjunto de panelas com revestimento cerâmico, mais saudável e durável.","Cor vermelha, cabos em soft-touch.",350.00,"Indeterminada"
Chocolate ao Leite Barra 90g,Mercearia Doce,Mercearia,Nestlé Classic,"Chocolate ao leite cremoso e delicioso.","Barra de 90g.",6.00,"12 meses"
Atum Sólido em Óleo Lata,Mercearia Salgada,Mercearia,Gomes da Costa,"Atum sólido conservado em óleo comestível.","Lata 170g.",7.50,"48 meses"
Arroz Arbóreo para Risoto,Grãos e Cereais,Mercearia,Riso Scotti,"Arroz especial para risotos, grãos que liberam amido para cremosidade.","Pacote 1kg.",18.00,"18 meses"
Camiseta Algodão Pima Azul Marinho,Camisetas,Vestuário Masculino,Algodão Nobre,"Camiseta básica de algodão pima peruano, toque extra macio.","Cor Azul Marinho, Tamanho M",120.00,"Indeterminada"
Curso de Fotografia para Iniciantes,Cursos Online,Educação Digital,Click Cursos,"Aprenda os fundamentos da fotografia e domine sua câmera.","Acesso online por 1 ano, certificado incluso.",199.90,"Indeterminada"
